"","ID","nstate"
"1",45876,3
"2",46729,NA
"3",56782,4
"4",84639,3
"5",154485,4
"6",175961,3
"7",230649,3
"8",269797,NA
"9",283922,2
"10",483952,5
"11",542921,5
"12",543670,NA
"13",580800,NA
"14",600011,NA
"15",621190,3
"16",631524,5
"17",709845,NA
"18",718883,5
"19",735244,NA
"20",855701,5
"21",1024119,4
"22",1095723,5
"23",1115262,2
"24",1143997,3
"25",1190767,4
"26",1217508,NA
"27",1303462,5
"28",1356094,NA
"29",1421052,4
"30",1462424,5
"31",1541444,5
"32",1632073,5
"33",1661817,5
"34",1670119,NA
"35",1700139,NA
"36",1844703,5
"37",2011403,4
"38",2031649,5
"39",2098152,5
"40",2182590,NA
"41",2197307,4
"42",2199641,NA
"43",2430222,5
"44",2482155,NA
"45",2608190,5
"46",2632561,NA
"47",2672189,2
"48",2733379,2
"49",2751400,3
"50",2797518,5
"51",2842994,5
"52",2891334,NA
"53",2980289,2
"54",3018346,5
"55",3036591,5
"56",3136377,NA
"57",3149920,NA
"58",3181171,5
"59",3253266,2
"60",3257787,5
"61",3364897,5
"62",3380170,NA
"63",3434288,4
"64",3448669,5
"65",3474998,5
"66",3515450,4
"67",3519317,NA
"68",3522821,4
"69",3628206,5
"70",3682940,NA
"71",3708500,5
"72",3864222,3
"73",3904545,5
"74",3934607,NA
"75",4121135,4
"76",4163262,3
"77",4211561,5
"78",4229740,5
"79",4265195,5
"80",4267643,4
"81",4336973,NA
"82",4389339,NA
"83",4390369,NA
"84",4600828,4
"85",4654751,4
"86",4749542,NA
"87",4810534,NA
"88",4821761,NA
"89",4992766,2
"90",5124833,5
"91",5194183,4
"92",5224220,5
"93",5274515,4
"94",5314505,2
"95",5343820,5
"96",5381847,5
"97",5417903,3
"98",5428844,4
"99",5474354,5
"100",5488266,NA
"101",5508910,5
"102",5609613,2
"103",5611837,NA
"104",5648925,4
"105",5662917,5
"106",5709096,NA
"107",5756915,NA
"108",5804648,NA
"109",5861090,5
"110",5961755,NA
"111",5962889,NA
"112",5964198,5
"113",6008947,2
"114",6120124,5
"115",6126987,2
"116",6214227,5
"117",6353221,5
"118",6364771,2
"119",6455773,NA
"120",6570543,2
"121",6571409,5
"122",6588191,5
"123",6588580,4
"124",6612927,5
"125",6626509,2
"126",6714077,2
"127",6763921,NA
"128",6814142,NA
"129",6814452,NA
"130",6820650,5
"131",6859508,5
"132",6919190,5
"133",6997700,5
"134",7009646,NA
"135",7070089,4
"136",7109888,NA
"137",7209529,5
"138",7236648,5
"139",7310642,3
"140",7400530,5
"141",7454097,2
"142",7467010,NA
"143",7470065,4
"144",7510478,4
"145",7512120,5
"146",7515241,2
"147",7533264,NA
"148",7548872,NA
"149",7691737,3
"150",7721351,4
"151",7833037,NA
"152",7856898,4
"153",7936134,NA
"154",7949853,5
"155",7963049,NA
"156",8014800,NA
"157",8160326,5
"158",8164511,5
"159",8277021,5
"160",8381817,5
"161",8470661,5
"162",8492655,5
"163",8551582,4
"164",8590102,NA
"165",8601879,4
"166",8656683,4
"167",8714741,NA
"168",8930402,NA
"169",9049038,5
"170",9067859,4
"171",9083494,4
"172",9117319,5
"173",9230564,2
"174",9345150,5
"175",9392961,NA
"176",9484332,5
"177",9797698,5
"178",9953438,5
"179",9975873,4
